País,Indice Objetivos de Desarrollo Sostenible(ODS),Expectativa de vida,Indice de Desarrollo Humano (HDI),PiB Per Capita ,Grupo de Ingresos,Población (millones),Huella de Carbono ,Huella Ecológica,Biocapacidad,Tierra
Bosnia and Herzegovina,"73,7",77.0,"0,78",6.097,Medios-Altos," 3,3 ","4,4","7,8","2,0","2,5"
Botswana,"61,9",69.0,"0,73",8.033,Medios-Altos," 2,3 ","2,8","4,3","3,3","1,5"
Brazil,"71,3",76.0,"0,76",11.076,Medios-Altos," 209,5 ","1,4","6,2","8,6","1,6"
Brunei Darussalam,"68,3",76.0,"0,84",31.437,Altos," 0,4 ","9,7","11,6","2,7","3,4"
Bulgaria,"73,8",75.0,"0,81",8.642,Medios-Altos," 7,1 ","4,2","8,2","3,3","2,3"
Burkina Faso,"53,5",61.0,"0,44",800,Bajos," 19,8 ","0,3","2,4","1,0","0,8"
Burundi,"51,8",61.0,"0,43",211,Bajos," 11,2 ","0,1","1,6","0,5","0,5"
Cabo Verde,"68,1",73.0,"0,66",3.740,Bajos-Medios," 0,5 ","0,0","3,4","0,5","1,2"
Cambodia,"64,5",70.0,"0,59",1.203,Bajos," 16,2 ","0,0","2,8","1,2","0,9"
Cameroon,"55,3",59.0,"0,56",1.502,Bajos-Medios," 25,2 ","0,3","2,3","1,6","0,8"
Canada,"79,2",82.0,"0,93",51.518,Altos," 37,1 ","10,7","19,8","14,7","5,1"
Central African Republic,"38,3",53.0,"0,40",379,Bajos," 4,7 ","0,1","2,4","7,5","0,8"
Chad,"40,9",54.0,"0,40",812,Bajos," 15,5 ","0,1","3,3","1,7","1,0"
Chile,"77,1",80.0,"0,85",15.110,Medios-Altos," 18,7 ","3,6","9,0","3,3","2,7"
China,"72,1",77.0,"0,76",7.469,Medios-Altos," 1.459,4 ","5,3","7,2","0,9","2,4"
Colombia,"70,6",77.0,"0,76",7.692,Medios-Altos," 49,7 ","1,2","3,4","3,4","1,2"
Comoros,,64.0,"0,55",1.403,Bajos," 0,8 ","0,0","2,1","0,4","0,8"
Congo,"52,9",64.0,"0,57",2.304,Bajos-Medios," 5,2 ","0,4","2,0","8,8","0,6"
"Congo, Democratic Republic of","49,3",60.0,"0,48",419,Bajos," 84,1 ","0,1","1,5","2,2","0,5"
Costa Rica,"73,6",80.0,"0,81",9.937,Medios-Altos," 5,0 ","1,6","4,2","1,5","1,5"
Côte d'Ivoire,"57,6",57.0,"0,53",1.668,Bajos-Medios," 25,1 ","0,4","3,0","1,8","0,9"
Croatia,"80,4",78.0,"0,85",15.708,Altos," 4,2 ","3,7","7,0","2,8","2,5"
Cuba,"73,7",79.0,"0,78",6.817,Medios-Altos," 11,3 ","1,8","3,0","0,8","1,1"
Cyprus,"74,9",81.0,"0,89",23.395,Altos," 1,2 ","0,0","5,9","0,2","2,4"
Czech Republic,"81,4",79.0,"0,90",23.721,Altos," 10,7 ","6,8","11,7","2,3","3,6"
Denmark,"84,9",81.0,"0,94",64.672,Altos," 5,8 ","5,4","11,0","3,6","4,2"
Djibouti,"53,8",67.0,"0,52",-,Bajos-Medios," 1,0 ","0,7","3,3","0,7","1,5"
Dominica,,,"0,74",6.697,Medios-Altos," 0,1 ","0,0","3,8","1,1","1,6"
Dominican Republic,"70,8",74.0,"0,75",7.698,Medios-Altos," 10,6 ","1,8","3,1","0,7","1,1"
Ecuador,"72,5",77.0,"0,76",5.181,Medios-Altos," 17,1 ","0,0","4,0","1,9","1,1"
Egypt,"68,6",72.0,"0,70",2.906,Bajos-Medios," 98,4 ","0,0","3,1","0,4","1,2"
El Salvador,"67,9",73.0,"0,67",3.507,Bajos-Medios," 6,4 ","1,1","3,2","0,6","1,3"
Equatorial Guinea,,58.0,"0,58",10.135,Altos," 1,3 ","3,1","4,5","3,4","1,3"
Eritrea,,66.0,"0,46",-,Bajos," 3,5 ","0,2","1,5","2,3","0,5"
Estonia,"81,6",78.0,"0,89",19.919,Altos," 1,3 ","7,3","18,6","9,3","5,1"
Eswatini,"53,3",59.0,"0,61",4.762,Bajos-Medios," 1,1 ","0,9","4,8","1,0","1,6"
Ethiopia,"54,5",66.0,"0,48",571,Bajos," 109,2 ","0,1","2,0","0,6","0,6"
Fiji,"71,2",67.0,"0,74",4.795,Medios-Altos," 0,9 ","1,1","4,6","2,3","1,7"
Finland,"85,9",82.0,"0,94",48.890,Altos," 5,5 ","6,9","18,3","12,1","4,1"
France,"81,7",83.0,"0,90",45.057,Altos," 65,0 ","4,2","8,1","2,4","2,8"
French Guiana,,,,,," 0,3 ","2,0","3,2","92,1","1,2"
French Polynesia,,77.0,,-,Altos," 0,3 ","0,0","6,1","1,3","2,5"
Gabon,"62,8",66.0,"0,70",9.051,Medios-Altos," 2,1 ","1,0","3,6","18,9","1,2"
Gambia,"59,3",62.0,"0,49",791,Bajos," 2,3 ","0,4","1,5","0,5","0,7"
Georgia,"72,2",74.0,"0,81",4.407,Bajos-Medios," 4,0 ","2,3","3,9","1,3","1,5"
Germany,"82,5",81.0,"0,95",47.158,Altos," 83,1 ","6,0","9,0","1,5","3,0"
Ghana,"62,5",64.0,"0,61",1.808,Bajos-Medios," 29,8 ","0,6","3,9","1,3","1,3"
Greece,"75,4",82.0,"0,88",24.044,Altos," 10,5 ","4,7","7,1","1,2","2,6"
