Entity,Code,Year,Fossil fuels (% equivalent primary energy),Renewables (% equivalent primary energy),Nuclear (% equivalent primary energy)
South Africa,ZAF,2007,96.9858169555664,0.7023894190788269,2.254251480102539
South Africa,ZAF,2008,97.20755767822266,0.3504508435726166,2.4022305011749268
South Africa,ZAF,2009,97.22975158691406,0.38785627484321594,2.3615384101867676
South Africa,ZAF,2010,97.21115112304688,0.31502997875213623,2.462968587875366
South Africa,ZAF,2011,96.90563201904297,0.6983460783958435,2.363673210144043
South Africa,ZAF,2012,97.24800109863281,0.3148212134838104,2.3981993198394775
South Africa,ZAF,2013,97.00967407226562,0.37065398693084717,2.581615447998047
South Africa,ZAF,2014,96.67024230957031,0.818098247051239,2.480743408203125
South Africa,ZAF,2015,96.50122833251953,1.2246651649475098,2.2343335151672363
South Africa,ZAF,2016,95.7398681640625,1.6210166215896606,2.605325222015381
South Africa,ZAF,2017,95.10482788085938,2.406186103820801,2.4548215866088867
South Africa,ZAF,2018,95.21868133544922,2.6591577529907227,2.06491756439209
South Africa,ZAF,2019,95.00005340576172,2.6449363231658936,2.3085014820098877
South Africa,ZAF,2020,94.2280502319336,3.1502459049224854,2.5553131103515625
South Africa,ZAF,2021,94.63148498535156,3.4086079597473145,1.8927432298660278
South America,,1965,88.97660064697266,11.023402214050293,0
South America,,1966,88.45657348632812,11.543425559997559,0
South America,,1967,88.21943664550781,11.780559539794922,0
South America,,1968,88.3023452758789,11.697651863098145,0
South America,,1969,87.95579528808594,12.044194221496582,0
South America,,1970,86.29512786865234,13.62198257446289,0
South America,,1971,85.50447082519531,14.387364387512207,0
South America,,1972,84.6058349609375,15.23875617980957,0
South America,,1973,84.39787292480469,15.491369247436523,0
South America,,1974,83.09072875976562,16.686647415161133,0.1588667780160904
South America,,1975,81.7933349609375,17.777019500732422,0.37660253047943115
South America,,1976,81.15525817871094,18.434003829956055,0.3583112955093384
South America,,1977,80.31950378417969,19.28297233581543,0.214385524392128
South America,,1978,79.22510528564453,20.00882339477539,0.3583196699619293
South America,,1979,78.04017639160156,21.08892059326172,0.3092409372329712
South America,,1980,76.33259582519531,22.76382827758789,0.2589035928249359
South America,,1981,75.992431640625,23.091262817382812,0.31280574202537537
South America,,1982,74.56901550292969,24.369810104370117,0.20196036994457245
South America,,1983,72.56065368652344,25.90607452392578,0.36229124665260315
South America,,1984,70.641357421875,27.27581787109375,0.6401342749595642
South America,,1985,69.08102416992188,28.32496452331543,0.8938945531845093
South America,,1986,68.88162994384766,28.48862648010254,0.5351953506469727
South America,,1987,68.003173828125,29.286306381225586,0.6543967127799988
South America,,1988,68.06442260742188,29.289913177490234,0.5438036322593689
South America,,1989,67.5831527709961,29.60606575012207,0.5746229887008667
South America,,1990,66.41944122314453,30.77764892578125,0.7944961786270142
South America,,1991,65.39625549316406,31.83687973022461,0.7422060966491699
South America,,1992,66.490234375,30.953725814819336,0.6766301393508911
South America,,1993,65.51631927490234,31.998836517333984,0.6023508310317993
South America,,1994,65.58222961425781,31.95983123779297,0.572884202003479
South America,,1995,65.78408813476562,31.717998504638672,0.6339725852012634
South America,,1996,65.81688690185547,31.687618255615234,0.6292025446891785
South America,,1997,65.809814453125,31.808338165283203,0.6717542409896851
South America,,1998,66.34024810791016,31.411378860473633,0.6254794001579285
South America,,1999,66.5058822631836,31.232824325561523,0.6431952118873596
South America,,2000,65.4565658569336,32.478721618652344,0.6994212865829468
South America,,2001,66.70411682128906,30.829071044921875,1.2278997898101807
South America,,2002,65.69178771972656,31.812137603759766,1.1102920770645142
South America,,2003,64.83739471435547,32.6981315612793,1.161454439163208
South America,,2004,65.67979431152344,31.918701171875,1.0216304063796997
South America,,2005,65.15650177001953,32.54806137084961,0.8439676761627197
South America,,2006,65.11763000488281,32.51108932495117,1.0341113805770874
South America,,2007,65.33704376220703,32.02057647705078,0.8908453583717346
South America,,2008,65.4527587890625,31.325286865234375,0.9386526346206665
South America,,2009,64.09420013427734,32.41624069213867,0.9305790066719055
South America,,2010,65.43907165527344,30.95347023010254,0.8972864747047424
South America,,2011,65.36492919921875,31.315364837646484,0.8674497008323669
South America,,2012,66.83587646484375,29.988754272460938,0.851146399974823
