id,informacion_id,anio,codigo,petroleo,carbon,gas,nuclear,hidraulica,solar,eolica,otras_renovables
77,77,2012.0,ARE,0.003,0.0,106.194,0.0,0.0,0.024,0.0,0.0
78,78,2013.0,ARE,0.003,0.0,109.889,0.0,0.0,0.085,0.001,0.0
79,79,2014.0,ARE,0.004,0.0,116.207,0.0,0.0,0.308,0.003,0.006
80,80,2015.0,ARE,0.003,0.0,127.063,0.0,0.0,0.309,0.001,0.006
81,81,2016.0,ARE,0.003,0.0,129.289,0.0,0.0,0.314,0.0,0.006
82,82,2017.0,ARE,0.003,0.0,133.82,0.0,0.0,0.739,0.0,0.006
83,83,2018.0,ARE,0.003,0.0,134.696,0.0,0.0,1.309,0.0,0.006
84,84,2019.0,ARE,0.003,0.0,134.657,0.0,0.0,3.788,0.0,0.006
85,85,2020.0,ARE,0.003,0.0,132.736,1.624,0.0,4.565,0.0,0.006
86,86,2021.0,ARE,0.004,0.0,123.724,10.544,,5.144,0.0,0.006
87,87,2000.0,ARG,2.883,1.781,48.879,6.177,28.575,0.0,0.035,0.386
88,88,2001.0,ARG,1.004,1.362,43.259,7.059,36.58,0.0,0.049,0.363
89,89,2002.0,ARG,0.759,0.811,40.706,5.821,35.779,0.0,0.073,0.53
90,90,2003.0,ARG,1.011,0.937,47.747,7.566,33.801,0.0,0.078,0.881
91,91,2004.0,ARG,4.039,1.678,55.199,7.869,30.462,0.0,0.072,0.868
92,92,2005.0,ARG,5.746,2.18,55.705,6.873,34.216,0.0,0.072,0.916
93,93,2006.0,ARG,8.036,1.994,56.399,7.721,38.015,0.0,0.07,1.046
94,94,2007.0,ARG,10.97,2.341,60.175,7.254,31.22,0.0,0.062,1.071
95,95,2008.0,ARG,14.37,1.937,65.411,7.394,31.2,0.0,0.042,1.206
96,96,2009.0,ARG,14.276,1.755,61.702,8.183,34.618,0.0,0.037,1.189
97,97,2010.0,ARG,16.663,3.013,63.74,7.21,33.36,0.0,0.025,1.442
98,98,2011.0,ARG,18.992,2.911,67.831,6.4,31.187,0.002,0.027,1.419
99,99,2012.0,ARG,19.212,2.644,76.198,6.402,29.164,0.008,0.37,1.485
100,100,2013.0,ARG,20.827,2.378,74.622,6.207,32.771,0.015,0.453,1.607
101,101,2014.0,ARG,19.075,2.544,76.164,5.514,32.417,0.016,0.619,1.483
102,102,2015.0,ARG,21.956,2.387,79.08,7.039,32.337,0.015,0.593,1.517
103,103,2016.0,ARG,20.723,1.93,84.326,8.285,29.753,0.014,0.547,1.139
104,104,2017.0,ARG,12.047,2.013,91.282,6.088,31.594,0.016,0.612,1.389
105,105,2018.0,ARG,7.026,2.031,95.173,6.872,32.279,0.108,1.413,1.59
106,106,2019.0,ARG,3.425,1.167,91.136,8.443,27.505,0.8,4.996,1.65
107,107,2020.0,ARG,7.06,1.642,88.002,10.662,23.669,1.344,9.411,2.265
108,108,2021.0,ARG,7.934,2.917,93.332,10.832,19.598,2.196,12.938,2.104
109,109,2000.0,ARM,0.0,0.0,2.53,1.84,1.25,0.0,0.0,0.0
