id,pais,continente,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
MNG,Mongolia,Asia,59.15,55.74,53.86,50.97,48.65,47.1,44.63,42.18,38.82,36.07,38.8,37.72,37.5,34.77,31.86,29.1,29.3,29.54,31.34,34.62
UGA,Uganda,Africa,59.15,58.68,57.15,56.13,54.91,52.95,51.88,51.97,50.34,50.36,48.68,47.92,41.4,38.81,40.18,38.19,38.08,36.12,35.11,35.46
IRL,Ireland,Europe,58.68,60.9,62.7,63.2,61.18,59.29,59.12,60.07,58.7,62.44,63.8,69.05,70.01,71.75,71.16,69.9,70.68,70.42,71.17,68.59
FIN,Finland,Europe,58.42,62.43,60.86,63.65,-0.28,3.2,7.24,6.46,12.1,59.98,51.8,55.43,63.52,65.35,53.93,66.11,69.97,61.78,59.34,38.2
BFA,Burkina Faso,Africa,56.31,55.25,54.46,53.52,33.91,33.02,32.52,31.57,30.86,40.94,39.35,38.66,37.77,37.13,37.17,36.53,35.99,32.54,31.84,29.92
CHL,Chile,South America,55.33,49.87,50.93,48.81,21.32,15.25,22.52,19.32,16.91,55.63,50.5,53.01,48.15,40.41,39.17,38.52,33.16,32.43,31.74,52.66
BHR,Bahrain,Asia,54.41,51.15,50.24,49.34,48.87,48.03,45.92,43.13,41.5,40.81,38.84,38.3,35.79,34.58,32.09,28.8,28.55,27.48,26.28,25.44
AZE,Azerbaijan,Asia,52.89,49.78,48.33,48.94,47.67,47.78,46.41,45.2,41.99,40.21,41.32,45.83,41.48,42.9,41.06,38.26,38.13,35.44,35.38,36.18
BWA,Botswana,Africa,52.34,54.01,56.22,52.43,53.52,54.09,55.38,54.43,67.14,62.29,51.86,60.95,52.21,53.96,52.14,50.73,50.12,57.23,56.89,55.06
CIV,Côte d'Ivoire,Africa,51.51,50.74,51.0,50.65,49.29,48.52,48.61,47.15,45.5,45.83,46.14,47.58,48.0,48.52,49.6,48.33,49.94,52.64,52.27,87.08
SYR,Syria,Asia,48.48,48.26,51.39,47.45,46.26,48.33,54.06,77.32,96.65,102.7,101.55,105.2,104.65,101.67,99.05,88.62,93.33,93.17,91.84,92.63
NPL,Nepal,Asia,48.37,48.96,45.95,44.97,39.41,40.23,38.8,38.13,36.71,28.65,27.42,25.57,24.21,24.1,24.55,23.83,23.75,22.62,23.43,25.89
CAF,Central African Republic,Africa,46.58,53.3,53.24,58.03,50.84,48.84,51.71,53.08,57.77,55.27,47.78,58.52,58.82,56.57,57.62,51.24,62.24,48.19,52.36,44.24
SLB,Solomon Islands,Oceania,46.36,46.33,46.3,46.27,-17.04,-17.02,-16.99,-17.04,-17.06,2.43,2.41,2.39,2.39,2.38,2.37,2.33,2.29,2.27,2.25,4.45
CHE,Switzerland,Europe,44.26,44.37,45.64,46.62,46.14,46.91,50.72,49.7,48.39,52.36,50.79,52.23,50.6,52.53,52.81,52.09,51.6,50.37,52.02,51.26
MLI,Mali,Africa,44.16,42.31,40.98,39.99,35.55,34.15,33.6,32.3,31.7,30.85,28.61,28.24,26.79,25.84,25.5,24.59,22.32,21.57,21.34,24.16
DNK,Denmark,Europe,44.06,47.43,47.97,50.28,45.93,47.94,52.12,50.7,55.79,63.14,62.86,65.75,69.27,74.05,66.32,70.04,76.25,70.73,71.41,70.0
NER,Niger,Africa,43.96,42.06,40.22,38.79,37.08,35.87,34.17,32.4,30.36,29.34,29.23,27.89,26.67,25.48,24.55,23.65,22.78,21.88,21.09,24.83
SOM,Somalia,Africa,42.51,42.8,42.84,43.01,43.12,43.06,42.92,42.8,42.5,42.34,42.14,42.11,42.09,43.19,44.46,44.02,43.72,43.49,43.1,42.55
GIN,Guinea,Africa,40.61,38.9,38.6,38.1,34.28,33.68,33.18,33.14,31.83,30.45,28.19,27.72,27.12,26.76,26.43,24.95,24.93,24.71,23.54,22.57
MDG,Madagascar,Africa,40.22,39.67,39.59,40.4,39.48,38.7,38.84,39.93,39.22,51.25,50.59,49.57,50.83,49.38,50.76,46.64,47.75,45.26,47.63,55.54
DOM,Dominican Republic,North America,39.76,37.64,35.47,36.22,35.35,32.92,32.57,32.8,31.99,30.84,29.49,30.0,29.85,28.65,26.73,25.41,26.12,28.45,26.02,19.91
LAO,Laos,Asia,39.42,39.26,39.37,37.79,29.52,24.85,24.68,23.42,21.53,28.65,25.0,23.6,27.97,23.09,23.99,26.72,22.46,21.88,20.79,20.31
GTM,Guatemala,North America,38.49,37.05,35.21,35.81,38.64,35.66,34.63,33.39,32.71,38.15,38.33,36.69,38.05,36.4,37.08,34.96,35.99,34.34,33.08,36.44
NIC,Nicaragua,North America,38.41,37.87,37.8,38.05,29.28,28.36,27.42,27.16,26.8,38.31,37.93,37.88,37.99,37.83,37.65,37.18,37.71,36.55,36.09,31.99
CUB,Cuba,North America,38.19,39.24,38.78,40.1,32.51,30.52,32.51,32.14,31.13,33.5,32.5,31.71,32.34,31.29,30.27,30.21,30.83,31.69,32.83,33.23
LKA,Sri Lanka,Asia,37.9,35.61,36.38,35.79,33.89,30.0,27.22,29.77,28.22,27.23,25.97,26.81,26.56,25.64,27.22,25.28,25.14,23.96,23.07,25.45
TUN,Tunisia,Africa,37.81,37.61,37.45,37.15,45.61,45.31,42.96,43.18,41.5,37.37,34.92,34.59,34.05,32.71,31.56,30.86,29.6,29.77,29.64,29.13
SVK,Slovakia,Europe,37.0,38.81,39.37,37.44,30.04,29.61,32.25,31.59,33.95,34.66,33.13,36.77,36.74,37.7,38.14,37.31,38.0,37.74,38.19,36.55
JOR,Jordan,Asia,36.57,36.21,37.07,35.26,34.96,34.49,32.34,32.02,28.46,27.52,27.78,27.04,27.78,26.28,25.48,23.96,22.35,21.77,20.98,20.88
LBN,Lebanon,Asia,35.13,34.6,35.85,33.97,32.81,30.66,28.47,28.5,25.85,25.26,26.15,22.69,18.89,19.96,20.9,21.48,20.92,20.23,20.25,18.93
URY,Uruguay,South America,34.36,34.47,34.57,35.33,29.87,30.03,30.54,31.53,30.67,26.03,28.43,28.88,26.3,27.34,25.21,25.04,23.13,22.24,21.93,19.07
SEN,Senegal,Africa,33.6,32.33,31.93,31.79,29.82,28.9,28.36,27.18,27.61,28.54,27.5,27.03,26.09,25.94,25.53,24.81,22.68,23.37,23.91,24.78
SWE,Sweden,Europe,29.87,30.88,33.42,33.74,28.65,28.72,30.02,31.8,34.58,49.72,44.06,47.94,49.09,51.15,52.64,56.26,57.68,56.65,55.28,69.99
AFG,Afghanistan,Asia,28.79,27.84,26.68,27.05,26.84,26.52,26.77,28.55,29.17,27.24,22.75,20.66,17.26,16.87,16.35,15.44,15.65,15.01,12.37,11.5
TTO,Trinidad and Tobago,North America,28.47,28.81,28.87,28.65,32.23,33.14,33.11,32.13,32.57,31.59,28.8,29.61,29.95,29.19,25.65,23.58,22.52,18.74,17.08,15.28
HND,Honduras,North America,28.14,27.9,26.56,27.02,27.36,26.96,26.6,25.82,25.81,23.86,23.72,23.65,23.61,22.88,22.5,21.83,22.07,19.24,18.8,18.78
NOR,Norway,Europe,26.98,28.59,28.77,29.78,30.33,29.94,30.27,29.36,30.56,28.59,24.71,25.14,26.45,26.14,25.84,26.88,26.59,24.56,25.06,32.63
BEN,Benin,Africa,25.78,25.83,24.72,24.54,22.84,22.41,21.89,21.25,21.29,21.19,20.79,20.15,20.43,19.72,19.52,18.34,18.26,18.35,17.3,22.8
PAN,Panama,North America,25.3,21.9,21.74,22.29,22.06,22.07,21.64,21.66,20.96,19.86,19.23,17.64,17.53,17.52,16.99,15.34,15.34,15.05,15.78,16.0
YEM,Yemen,Asia,25.26,23.86,23.84,23.9,29.46,52.32,54.09,44.5,48.94,52.17,49.56,46.36,46.6,45.86,44.57,42.24,41.8,38.23,38.15,36.86
BIH,Bosnia and Herzegovina,Europe,24.5,26.01,26.0,25.73,21.17,20.95,23.47,23.69,25.48,26.41,26.38,26.13,24.2,23.05,21.15,20.46,19.39,18.86,18.71,22.05
NAM,Namibia,Africa,21.22,22.17,23.04,22.86,22.29,22.18,22.93,29.75,28.21,23.23,23.82,20.9,22.36,22.99,21.65,21.06,20.57,19.92,21.31,21.32
GUY,Guyana,South America,19.8,19.26,19.05,18.99,21.59,21.44,21.24,21.09,20.84,13.11,12.85,12.82,12.67,12.36,12.56,12.93,12.53,12.26,12.37,11.62
GAB,Gabon,Africa,19.68,18.89,19.37,20.8,20.39,19.92,19.59,19.35,19.75,16.48,15.6,15.92,15.21,15.9,17.1,17.41,17.75,16.54,17.14,17.57
MWI,Malawi,Africa,19.34,18.9,17.45,17.21,16.71,16.3,15.73,15.63,15.17,15.16,14.17,14.34,13.7,13.17,13.17,12.85,12.98,12.51,12.14,12.11
LTU,Lithuania,Europe,18.3,18.28,18.2,18.28,12.78,12.52,12.99,13.89,13.97,20.6,19.79,23.38,23.94,22.93,22.8,21.67,20.71,20.54,20.19,20.25
HRV,Croatia,Europe,17.92,17.87,18.98,18.33,21.11,20.5,21.3,22.4,24.39,25.32,25.88,28.44,29.26,27.74,27.02,27.08,27.36,26.25,25.2,24.38
GEO,Georgia,Asia,17.64,17.14,17.46,17.58,17.15,16.83,16.23,15.34,14.45,9.56,9.85,9.1,9.99,9.23,8.87,8.32,8.24,7.72,8.27,-4.02
BGR,Bulgaria,Europe,17.48,19.42,22.63,20.39,45.14,42.43,39.85,45.0,50.74,33.41,31.76,39.25,41.66,37.46,37.51,37.52,38.77,33.91,36.59,36.03
TJK,Tajikistan,Asia,17.38,16.5,15.13,13.73,12.02,11.42,9.88,9.46,8.66,8.44,8.35,8.67,8.29,7.58,7.09,7.02,6.47,6.32,6.29,6.65
