pais,codigo,continente,indice objetivos desarrollo sostenible,expectativa vida,indice desarrollo humano,pib per capita,grupo ingresos,poblacion,huella carbono,huella ecologica,biocapacidad,tierra,Idpais,Idcontinente
Djibouti,DJI,Africa,53.8,67.0,0.52,-,Bajos-Medios, 1.0 ,0.7,3.3,0.7,1.5,902f92c09660b797958acb27421fd9ac,f5cd262901883dff68d06b215fb0f28e
Dominica,DMA,North America,,,0.74,6.697,Medios-Altos, 0.1 ,0.0,3.8,1.1,1.6,531c552093668f148d3c826fca6e3cc8,5ffec2d87ab548202f8b549af380913a
Dominican Republic,DOM,North America,70.8,74.0,0.75,7.698,Medios-Altos, 10.6 ,1.8,3.1,0.7,1.1,662c15622f9c9c5decc0db80edb6c416,5ffec2d87ab548202f8b549af380913a
Ecuador,ECU,South America,72.5,77.0,0.76,5.181,Medios-Altos, 17.1 ,0.0,4.0,1.9,1.1,4d5d85af33ec2aaedb674d2d6a7d53b6,aab422acb3d2334a6deca0e1495745c2
Egypt,EGY,Africa,68.6,72.0,0.70,2.906,Bajos-Medios, 98.4 ,0.0,3.1,0.4,1.2,e31959fe2842dacea4d16d36e9813620,f5cd262901883dff68d06b215fb0f28e
El Salvador,SLV,North America,67.9,73.0,0.67,3.507,Bajos-Medios, 6.4 ,1.1,3.2,0.6,1.3,e96d24bdfc024e04f49f1f0cc011ca20,5ffec2d87ab548202f8b549af380913a
Equatorial Guinea,GNQ,Africa,,58.0,0.58,10.135,Altos, 1.3 ,3.1,4.5,3.4,1.3,a38c2761908be5cef4a98ef5b3402ac9,f5cd262901883dff68d06b215fb0f28e
Eritrea,ERI,Africa,,66.0,0.46,-,Bajos, 3.5 ,0.2,1.5,2.3,0.5,c9c9f116f74ac9d7e60dc415523dfeff,f5cd262901883dff68d06b215fb0f28e
Estonia,EST,Europe,81.6,78.0,0.89,19.919,Altos, 1.3 ,7.3,18.6,9.3,5.1,7755415a9fe7022060b98a689236ccd2,912d59cdf1d3f551fae21f6f0062258f
Eswatini,SWZ,Africa,53.3,59.0,0.61,4.762,Bajos-Medios, 1.1 ,0.9,4.8,1.0,1.6,5b6c44e2e66685a59e42673eff6d5f17,f5cd262901883dff68d06b215fb0f28e
Ethiopia,ETH,Africa,54.5,66.0,0.48,571,Bajos, 109.2 ,0.1,2.0,0.6,0.6,e299d7cb0f7866cce7d90da2af14047c,f5cd262901883dff68d06b215fb0f28e
Fiji,FJI,Oceania,71.2,67.0,0.74,4.795,Medios-Altos, 0.9 ,1.1,4.6,2.3,1.7,55b0c4d4efa00b59643b2e6a6e7c18c0,2d8836190888267b97ce332cad2aa247
Finland,FIN,Europe,85.9,82.0,0.94,48.890,Altos, 5.5 ,6.9,18.3,12.1,4.1,6f781c6559a0c605da918096bdb69edf,912d59cdf1d3f551fae21f6f0062258f
France,FRA,Europe,81.7,83.0,0.90,45.057,Altos, 65.0 ,4.2,8.1,2.4,2.8,0309a6c666a7a803fdb9db95de71cf01,912d59cdf1d3f551fae21f6f0062258f
French Guiana,GUF,South America,,,,,, 0.3 ,2.0,3.2,92.1,1.2,1cab30fe45c3aee88dc7bc9f907cd239,aab422acb3d2334a6deca0e1495745c2
French Polynesia,PYF,Oceania,,77.0,,-,Altos, 0.3 ,0.0,6.1,1.3,2.5,8e49db69269b7f99afa25722e87fa67e,2d8836190888267b97ce332cad2aa247
Gabon,GAB,Africa,62.8,66.0,0.70,9.051,Medios-Altos, 2.1 ,1.0,3.6,18.9,1.2,fceb5af40df295d85851f390f4f8d78d,f5cd262901883dff68d06b215fb0f28e
Gambia,GMB,Africa,59.3,62.0,0.49,791,Bajos, 2.3 ,0.4,1.5,0.5,0.7,e2a96e074e1d8a6f6de56abbd4a4d8dc,f5cd262901883dff68d06b215fb0f28e
Georgia,GEO,Asia,72.2,74.0,0.81,4.407,Bajos-Medios, 4.0 ,2.3,3.9,1.3,1.5,eada819634d0164c6a7547bdcc405033,154a67340e8c14dd5253dc4ff6120197
Germany,DEU,Europe,82.5,81.0,0.95,47.158,Altos, 83.1 ,6.0,9.0,1.5,3.0,d8b00929dec65d422303256336ada04f,912d59cdf1d3f551fae21f6f0062258f
Ghana,GHA,Africa,62.5,64.0,0.61,1.808,Bajos-Medios, 29.8 ,0.6,3.9,1.3,1.3,e7400496f1ce70cb62c2c44ca2ddc469,f5cd262901883dff68d06b215fb0f28e
Greece,GRC,Europe,75.4,82.0,0.88,24.044,Altos, 10.5 ,4.7,7.1,1.2,2.6,6b718641741f992e68ec3712718561b8,912d59cdf1d3f551fae21f6f0062258f
Grenada,GRD,North America,,72.0,0.77,9.092,Medios-Altos, 0.1 ,0.0,4.2,2.1,1.6,45b1cb9a558807139085c645d2f47f07,5ffec2d87ab548202f8b549af380913a
Guadeloupe,GLP,North America,,,,,, 0.4 ,0.0,5.7,0.5,2.3,0dc81c66d1c08d6ca64c7e8b60ae78fb,5ffec2d87ab548202f8b549af380913a
Guatemala,GTM,North America,59.9,74.0,0.66,3.164,Bajos-Medios, 17.2 ,0.9,3.3,1.0,1.1,948b13d5a3e11e21baadc349e199020e,5ffec2d87ab548202f8b549af380913a
Guinea,GIN,Africa,51.0,61.0,0.47,897,Bajos, 12.4 ,0.3,3.4,2.1,1.2,8e4d9eeed250a9d065ac2bb8bdc67b30,f5cd262901883dff68d06b215fb0f28e
Guinea-Bissau,GNB,Africa,,58.0,0.47,623,Bajos, 1.9 ,0.2,3.0,2.7,0.9,2d65f5236205dd23c6a8212627568fb8,f5cd262901883dff68d06b215fb0f28e
Guyana,GUY,South America,57.9,70.0,0.68,5.825,Bajos-Medios, 0.8 ,2.8,6.4,72.7,2.2,cf4c7e1169281886577940e361854a84,aab422acb3d2334a6deca0e1495745c2
Haiti,HTI,North America,51.4,64.0,0.51,1.282,Bajos, 11.1 ,0.2,1.0,0.2,0.4,b88959cb7d907d91065ac7ec19eb0b44,5ffec2d87ab548202f8b549af380913a
Honduras,HND,North America,62.8,75.0,0.63,2.219,Bajos-Medios, 9.6 ,0.0,2.9,1.7,1.0,f4270ce39e7e926052e097a0e4e63bde,5ffec2d87ab548202f8b549af380913a
Hungary,HUN,Europe,78.8,76.0,0.85,16.894,Altos, 9.7 ,4.1,7.7,2.6,2.4,fa79c3005daec47ecff84a116a0927a1,912d59cdf1d3f551fae21f6f0062258f
India,IND,Asia,60.1,69.0,0.64,2.085,Bajos-Medios, 1.352.6 ,1.3,2.4,0.4,0.8,7d31e0da1ab99fe8b08a22118e2f402b,154a67340e8c14dd5253dc4ff6120197
Indonesia,IDN,Asia,66.3,72.0,0.71,4.296,Bajos-Medios, 267.7 ,1.4,3.6,1.2,1.1,4647d00cf81f8fb0ab80f753320d0fc9,154a67340e8c14dd5253dc4ff6120197
Iraq,IRQ,Asia,63.8,70.0,0.67,5.464,Bajos-Medios, 38.4 ,2.5,3.1,0.2,1.1,5ae2ff99743a8487c917e98bbf3db2d3,154a67340e8c14dd5253dc4ff6120197
Ireland,IRL,Europe,81.0,82.0,0.95,77.407,Altos, 4.8 ,5.8,10.0,3.1,3.3,06e415f918c577f07328a52e24f75d43,912d59cdf1d3f551fae21f6f0062258f
Israel,ISR,Asia,75.0,83.0,0.92,36.867,Altos, 8.4 ,5.8,7.4,0.2,2.9,5a548c2f5875f10bf5614b7c258876cf,154a67340e8c14dd5253dc4ff6120197
Italy,ITA,Europe,78.8,83.0,0.89,35.277,Altos, 60.7 ,4.5,6.7,0.8,2.7,1007e1b7f894dfbf72a0eaa80f3bc57e,912d59cdf1d3f551fae21f6f0062258f
Jamaica,JAM,North America,69.0,74.0,0.73,4.855,Medios-Altos, 2.9 ,1.8,2.9,0.4,1.0,1add2eb41fcae9b2a15b4a7d68571409,5ffec2d87ab548202f8b549af380913a
Japan,JPN,Asia,79.8,84.0,0.92,48.506,Altos, 127.2 ,6.6,8.2,0.6,2.9,53a577bb3bc587b0c28ab808390f1c9b,154a67340e8c14dd5253dc4ff6120197
Jordan,JOR,Asia,70.1,74.0,0.73,3.307,Medios-Altos, 10.0 ,1.8,2.8,0.2,1.1,6ea1e24d60afddf388b06f8243c45b70,154a67340e8c14dd5253dc4ff6120197
Kazakhstan,KAZ,Asia,71.6,73.0,0.82,11.136,Medios-Altos, 18.3 ,7.8,10.8,3.6,3.1,7c1a943bf29d2c753fb935e99428482c,154a67340e8c14dd5253dc4ff6120197
Kenya,KEN,Africa,60.6,66.0,0.60,1.201,Bajos, 51.4 ,0.4,1.8,0.5,0.6,94984a8c4896946d9bafd24959cb6181,f5cd262901883dff68d06b215fb0f28e
Kuwait,KWT,Asia,62.5,75.0,0.81,33.113,Altos, 4.1 ,14.2,15.8,0.5,5.0,05387f3ca38d7bd84ae35f31f2899ecf,154a67340e8c14dd5253dc4ff6120197
Kyrgyzstan,KGZ,Asia,74.0,71.0,0.70,1.094,Bajos, 6.3 ,1.4,2.9,1.2,1.0,5e4a24f76c22f03700b283dfbdf6eec1,154a67340e8c14dd5253dc4ff6120197
Lao People's Democratic Republic,LAO,Asia,63.0,68.0,0.61,1.786,Bajos-Medios, 7.1 ,1.2,4.1,1.7,1.2,81a6b6e5e6a1d60ce3bac4eee20444eb,154a67340e8c14dd5253dc4ff6120197
Latvia,LVA,Europe,79.2,75.0,0.86,16.252,Altos, 1.9 ,3.3,14.0,8.2,4.0,a09f4b2ae67f0a63ab8912047a1a1b55,912d59cdf1d3f551fae21f6f0062258f
Lebanon,LBN,Asia,66.8,79.0,0.75,6.205,Medios-Altos, 6.9 ,3.2,4.5,0.3,1.9,b45ff92cc522bb89bfc3b8ef3fc21b7d,154a67340e8c14dd5253dc4ff6120197
Lesotho,LSO,Africa,54.6,54.0,0.52,1.375,Bajos-Medios, 2.1 ,1.0,2.8,0.8,1.0,e99bb6b91ef51dbe4eec9340dc7c68cf,f5cd262901883dff68d06b215fb0f28e
Liberia,LBR,Africa,48.6,64.0,0.48,541,Bajos, 4.8 ,0.1,2.3,3.0,0.8,642cab67fc263bb61ae4ccbd577c8aa4,f5cd262901883dff68d06b215fb0f28e
Lithuania,LTU,Europe,76.7,76.0,0.88,17.744,Medios-Altos, 2.8 ,4.8,11.4,4.7,3.8,d9051e0b77f8bb5521389618e70e2ada,912d59cdf1d3f551fae21f6f0062258f
Luxembourg,LUX,Europe,74.2,82.0,0.91,111.381,Altos, 0.6 ,15.0,19.2,1.2,8.2,06630c890abadde9228ea818ce52b621,912d59cdf1d3f551fae21f6f0062258f
Madagascar,MDG,Africa,49.0,67.0,0.53,490,Bajos, 26.3 ,0.1,1.8,2.2,0.6,b5bcce260d9e303ca0e63f055187ed28,f5cd262901883dff68d06b215fb0f28e
Malawi,MWI,Africa,51.4,64.0,0.48,515,Bajos, 18.1 ,0.1,1.7,0.7,0.6,70965feb0441ff7fc1982fc5c509136e,f5cd262901883dff68d06b215fb0f28e
Malaysia,MYS,Asia,70.9,76.0,0.81,12.116,Medios-Altos, 31.5 ,5.2,8.5,2.2,2.7,3f0e49c46cbde0c7adf5ea04a97ab261,154a67340e8c14dd5253dc4ff6120197
Mali,MLI,Africa,52.2,59.0,0.43,779,Bajos, 19.1 ,0.3,3.2,1.9,1.0,e90c93ceb8ccdcdf3b797f47edee866d,f5cd262901883dff68d06b215fb0f28e
Malta,MLT,Europe,75.7,82.0,0.89,31.604,Altos, 0.4 ,0.0,6.8,0.5,3.4,92468e8a62373add2b9caefddbcf1303,912d59cdf1d3f551fae21f6f0062258f
Martinique,MTQ,North America,,,,,, 0.4 ,0.0,5.5,0.4,2.2,899c4b2a0d41d5b86e2dbc3b2f5380cf,5ffec2d87ab548202f8b549af380913a
Mauritania,MRT,Africa,55.5,65.0,0.54,1.704,Bajos-Medios, 4.4 ,0.7,5.0,3.9,1.6,d7fe73b6846dfc672236e636aa2cf6b5,f5cd262901883dff68d06b215fb0f28e
Mauritius,MUS,Africa,66.7,74.0,0.80,10.561,Medios-Altos, 1.3 ,0.0,5.0,0.7,2.0,07f3ca235faaa1c9ad16facef5526d8b,f5cd262901883dff68d06b215fb0f28e
Mexico,MEX,North America,69.1,75.0,0.78,10.381,Medios-Altos, 126.2 ,2.5,4.4,1.2,1.5,8dbb07a18d46f63d8b3c8994d5ccc351,5ffec2d87ab548202f8b549af380913a
Mongolia,MNG,Asia,63.8,70.0,0.74,4.211,Bajos-Medios, 3.2 ,4.6,15.3,14.1,4.6,bb6a72b6a93150d4181e50496fc15f5a,154a67340e8c14dd5253dc4ff6120197
Montenegro,MNE,Europe,68.2,77.0,0.83,8.180,Medios-Altos, 0.6 ,3.9,6.7,2.5,2.7,4e92f9d2cdf0b8eb493ae3a19709d121,912d59cdf1d3f551fae21f6f0062258f
Morocco,MAR,Africa,70.5,76.0,0.68,3.414,Bajos-Medios, 36.0 ,1.3,3.2,0.8,1.1,4d4a1722d8e85909a576da2c42878ff0,f5cd262901883dff68d06b215fb0f28e
Mozambique,MOZ,Africa,51.1,60.0,0.45,593,Bajos, 29.5 ,0.3,1.5,1.6,0.5,a6d3bea3fa66775952e080b90bb0c4f1,f5cd262901883dff68d06b215fb0f28e
Myanmar,MMR,Asia,64.9,67.0,0.58,1.573,Bajos, 53.7 ,0.5,3.3,1.9,1.0,217fa54cc9351504fcde32147bff005d,154a67340e8c14dd5253dc4ff6120197
Namibia,NAM,Africa,61.8,63.0,0.65,5.942,Medios-Altos, 2.4 ,1.7,6.9,6.3,1.6,69f4287626aee77f93e2c891b518838b,f5cd262901883dff68d06b215fb0f28e
Nepal,NPL,Asia,66.5,70.0,0.60,818,Bajos, 28.1 ,0.5,2.1,0.6,0.8,7fef6b003c726890ea5ca3708fe8ff56,154a67340e8c14dd5253dc4ff6120197
Netherlands,NLD,Europe,81.6,82.0,0.94,55.369,Altos, 17.1 ,6.8,9.3,0.8,3.6,a67d4cbdd1b59e0ffccc6bafc83eb033,912d59cdf1d3f551fae21f6f0062258f
New Zealand,NZL,Oceania,79.1,82.0,0.93,39.215,Altos, 4.7 ,0.0,17.4,8.8,3.3,c51ed580ea5e20c910d951f692512b4d,2d8836190888267b97ce332cad2aa247
Nicaragua,NIC,North America,66.3,74.0,0.66,1.857,Bajos-Medios, 6.5 ,0.7,3.1,2.2,0.9,3bfe17f6c2d1b8941df303de7aec2eb0,5ffec2d87ab548202f8b549af380913a
Niger,NER,Africa,49.5,62.0,0.39,552,Bajos, 22.4 ,0.1,3.1,1.3,1.0,bf2ec44b27fc25c6fd8a38792b9ef2a8,f5cd262901883dff68d06b215fb0f28e
Nigeria,NGA,Africa,48.9,54.0,0.53,2.384,Bajos-Medios, 195.9 ,0.4,2.1,0.7,0.7,5d839147c83e283c1d1bb705dc50586f,f5cd262901883dff68d06b215fb0f28e
Norway,NOR,Europe,82.0,83.0,0.96,91.608,Altos, 5.3 ,5.3,16.0,6.9,3.6,d5b9290a0b67727d4ba1ca6059dc31a6,912d59cdf1d3f551fae21f6f0062258f
Oman,OMN,Asia,70.1,78.0,0.81,15.797,Altos, 4.8 ,10.0,12.8,1.4,4.0,1c77b9733832da9d1ffac66620f3c006,154a67340e8c14dd5253dc4ff6120197
Pakistan,PAK,Asia,57.7,67.0,0.55,1.197,Bajos-Medios, 212.2 ,0.7,1.5,0.3,0.5,b9698b8546220246fe600a949db326bf,154a67340e8c14dd5253dc4ff6120197
Panama,PAN,North America,68.0,78.0,0.81,11.755,Medios-Altos, 4.2 ,2.2,5.1,2.5,1.8,6bec347f256837d3539ad619bd489de7,5ffec2d87ab548202f8b549af380913a
