anio,pais,combustible,continente,Idanio,Idpais,Idcombustible,Idcontinente
1987,Ecuador,None,None,d68a18275455ae3eaa2c291eebb46e6d,4d5d85af33ec2aaedb674d2d6a7d53b6,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
1988,Egypt,None,None,9d7311ba459f9e45ed746755a32dcd11,e31959fe2842dacea4d16d36e9813620,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
1989,El Salvador,None,None,4a3e00961a08879c34f91ca0070ea2f5,e96d24bdfc024e04f49f1f0cc011ca20,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
1990,Equatorial Guinea,None,None,dc513ea4fbdaa7a14786ffdebc4ef64e,a38c2761908be5cef4a98ef5b3402ac9,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
1991,Eritrea,None,None,96055f5b06bf9381ac43879351642cf5,c9c9f116f74ac9d7e60dc415523dfeff,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
1992,Estonia,None,None,d5c186983b52c4551ee00f72316c6eaa,7755415a9fe7022060b98a689236ccd2,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
1993,Eswatini,None,None,c5a4e7e6882845ea7bb4d9462868219b,5b6c44e2e66685a59e42673eff6d5f17,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
1994,Ethiopia,None,None,008bd5ad93b754d500338c253d9c1770,e299d7cb0f7866cce7d90da2af14047c,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
1995,Falkland Islands,None,None,3f088ebeda03513be71d34d214291986,1ea2b56dea4f434aa77e6369deef076a,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
1996,Faroe Islands,None,None,6351bf9dce654515bf1ddbd6426dfa97,76b88e7899abb3bfdd4b55b8c52726b0,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
1997,Fiji,None,None,06964dce9addb1c5cb5d6e3d9838f733,55b0c4d4efa00b59643b2e6a6e7c18c0,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
None,Finland,None,None,6adf97f83acf6453d4a6a4b1070f3754,6f781c6559a0c605da918096bdb69edf,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
None,France,None,None,6adf97f83acf6453d4a6a4b1070f3754,0309a6c666a7a803fdb9db95de71cf01,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
None,French Guiana,None,None,6adf97f83acf6453d4a6a4b1070f3754,1cab30fe45c3aee88dc7bc9f907cd239,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
