,Pais,Continente,Codigo,Anio,Combustibles Fosiles,Renovables,Nuclear,Id_Pais
209,Argentina,South America,ARG,2003,82.58988189697266,14.408259391784668,3.0018558502197266,3536be57ce0713954e454ae6c53ec023
210,Argentina,South America,ARG,2004,84.8929672241211,12.185575485229492,2.9214582443237305,3536be57ce0713954e454ae6c53ec023
211,Argentina,South America,ARG,2005,84.8227767944336,12.78852367401123,2.3886990547180176,3536be57ce0713954e454ae6c53ec023
212,Argentina,South America,ARG,2006,84.01231384277344,13.449461936950684,2.538224697113037,3536be57ce0713954e454ae6c53ec023
213,Argentina,South America,ARG,2007,87.13004302978516,10.599154472351074,2.2707908153533936,3536be57ce0713954e454ae6c53ec023
214,Argentina,South America,ARG,2008,87.29216766357422,10.437064170837402,2.2707629203796387,3536be57ce0713954e454ae6c53ec023
215,Argentina,South America,ARG,2009,85.64727020263672,11.783506393432615,2.5692293643951416,3536be57ce0713954e454ae6c53ec023
216,Argentina,South America,ARG,2010,86.16850280761719,11.661375045776367,2.170118808746338,3536be57ce0713954e454ae6c53ec023
217,Argentina,South America,ARG,2011,87.20745849609375,10.929448127746582,1.8630905151367188,3536be57ce0713954e454ae6c53ec023
218,Argentina,South America,ARG,2012,88.00098419189453,10.216425895690918,1.782589077949524,3536be57ce0713954e454ae6c53ec023
219,Argentina,South America,ARG,2013,87.39830017089844,10.950078964233398,1.651631474494934,3536be57ce0713954e454ae6c53ec023
220,Argentina,South America,ARG,2014,87.49810791015625,11.03897762298584,1.462907314300537,3536be57ce0713954e454ae6c53ec023
221,Argentina,South America,ARG,2015,87.26728057861328,10.907397270202637,1.82532000541687,3536be57ce0713954e454ae6c53ec023
222,Argentina,South America,ARG,2016,87.68685150146484,10.167007446289062,2.146143913269043,3536be57ce0713954e454ae6c53ec023
223,Argentina,South America,ARG,2017,87.46578216552734,10.96471881866455,1.5695081949234009,3536be57ce0713954e454ae6c53ec023
224,Argentina,South America,ARG,2018,86.82838439941406,11.397629737854004,1.773986577987671,3536be57ce0713954e454ae6c53ec023
225,Argentina,South America,ARG,2019,85.77884674072266,11.926772117614746,2.2943849563598637,3536be57ce0713954e454ae6c53ec023
226,Argentina,South America,ARG,2020,84.77001953125,12.17941665649414,3.0505645275115967,3536be57ce0713954e454ae6c53ec023
227,Argentina,South America,ARG,2021,85.8180923461914,11.329249382019045,2.8526546955108643,3536be57ce0713954e454ae6c53ec023
342,Australia,Oceania,AUS,1965,94.4373779296875,5.562621593475342,0.0,4442e4af0916f53a07fb8ca9a49b98ed
343,Australia,Oceania,AUS,1966,94.92810821533205,5.071894645690918,0.0,4442e4af0916f53a07fb8ca9a49b98ed
344,Australia,Oceania,AUS,1967,95.05045318603516,4.949548721313477,0.0,4442e4af0916f53a07fb8ca9a49b98ed
345,Australia,Oceania,AUS,1968,95.13452911376952,4.865467548370361,0.0,4442e4af0916f53a07fb8ca9a49b98ed
346,Australia,Oceania,AUS,1969,94.91300964355467,5.0869879722595215,0.0,4442e4af0916f53a07fb8ca9a49b98ed
347,Australia,Oceania,AUS,1970,94.57855224609376,5.421450614929199,0.0,4442e4af0916f53a07fb8ca9a49b98ed
348,Australia,Oceania,AUS,1971,94.17727661132812,5.822727203369141,0.0,4442e4af0916f53a07fb8ca9a49b98ed
349,Australia,Oceania,AUS,1972,94.40071868896484,5.599285125732422,0.0,4442e4af0916f53a07fb8ca9a49b98ed
350,Australia,Oceania,AUS,1973,94.4113311767578,5.588664531707764,0.0,4442e4af0916f53a07fb8ca9a49b98ed
351,Australia,Oceania,AUS,1974,94.04489135742188,5.955109596252441,0.0,4442e4af0916f53a07fb8ca9a49b98ed
352,Australia,Oceania,AUS,1975,93.70298767089844,6.297008037567139,0.0,4442e4af0916f53a07fb8ca9a49b98ed
353,Australia,Oceania,AUS,1976,94.20658111572266,5.793421268463135,0.0,4442e4af0916f53a07fb8ca9a49b98ed
354,Australia,Oceania,AUS,1977,94.730224609375,5.269774913787842,0.0,4442e4af0916f53a07fb8ca9a49b98ed
355,Australia,Oceania,AUS,1978,94.49130249023438,5.50869607925415,0.0,4442e4af0916f53a07fb8ca9a49b98ed
356,Australia,Oceania,AUS,1979,94.83415222167967,5.16584062576294,0.0,4442e4af0916f53a07fb8ca9a49b98ed
357,Australia,Oceania,AUS,1980,95.13773345947266,4.862271785736084,0.0,4442e4af0916f53a07fb8ca9a49b98ed
358,Australia,Oceania,AUS,1981,95.06964874267578,4.930354595184326,0.0,4442e4af0916f53a07fb8ca9a49b98ed
359,Australia,Oceania,AUS,1982,95.36322021484376,4.636782646179199,0.0,4442e4af0916f53a07fb8ca9a49b98ed
360,Australia,Oceania,AUS,1983,95.46550750732422,4.534481525421143,0.0,4442e4af0916f53a07fb8ca9a49b98ed
361,Australia,Oceania,AUS,1984,95.28153228759766,4.718454360961914,0.0,4442e4af0916f53a07fb8ca9a49b98ed
362,Australia,Oceania,AUS,1985,95.13684844970705,4.863154888153076,0.0,4442e4af0916f53a07fb8ca9a49b98ed
363,Australia,Oceania,AUS,1986,95.2014389038086,4.798559665679932,0.0,4442e4af0916f53a07fb8ca9a49b98ed
364,Australia,Oceania,AUS,1987,95.46711730957033,4.532893180847168,0.0,4442e4af0916f53a07fb8ca9a49b98ed
365,Australia,Oceania,AUS,1988,95.35832214355467,4.641680240631104,0.0,4442e4af0916f53a07fb8ca9a49b98ed
366,Australia,Oceania,AUS,1989,95.58003997802734,4.419953346252441,0.0,4442e4af0916f53a07fb8ca9a49b98ed
367,Australia,Oceania,AUS,1990,95.54060363769533,4.459391117095947,0.0,4442e4af0916f53a07fb8ca9a49b98ed
368,Australia,Oceania,AUS,1991,95.25993347167967,4.7400617599487305,0.0,4442e4af0916f53a07fb8ca9a49b98ed
369,Australia,Oceania,AUS,1992,95.26828002929688,4.731717109680176,0.0,4442e4af0916f53a07fb8ca9a49b98ed
370,Australia,Oceania,AUS,1993,95.2405776977539,4.75942850112915,0.0,4442e4af0916f53a07fb8ca9a49b98ed
371,Australia,Oceania,AUS,1994,95.47280883789062,4.527180671691895,0.0,4442e4af0916f53a07fb8ca9a49b98ed
372,Australia,Oceania,AUS,1995,95.7602767944336,4.239725112915039,0.0,4442e4af0916f53a07fb8ca9a49b98ed
373,Australia,Oceania,AUS,1996,95.76341247558594,4.23659086227417,0.0,4442e4af0916f53a07fb8ca9a49b98ed
374,Australia,Oceania,AUS,1997,95.85415649414062,4.145838737487793,0.0,4442e4af0916f53a07fb8ca9a49b98ed
375,Australia,Oceania,AUS,1998,95.96224212646484,4.037755966186523,0.0,4442e4af0916f53a07fb8ca9a49b98ed
376,Australia,Oceania,AUS,1999,95.99107360839844,4.008933544158936,0.0,4442e4af0916f53a07fb8ca9a49b98ed
377,Australia,Oceania,AUS,2000,96.01112365722656,3.988877773284912,0.0,4442e4af0916f53a07fb8ca9a49b98ed
378,Australia,Oceania,AUS,2001,96.12923431396484,3.8707621097564697,0.0,4442e4af0916f53a07fb8ca9a49b98ed
379,Australia,Oceania,AUS,2002,96.0685577392578,3.931450366973877,0.0,4442e4af0916f53a07fb8ca9a49b98ed
