anio,anomalia la temperatura media promedio 1961 a 1990,limite superior,limite inferior,Id_anio
1939,-0.052,-0.029,-0.088,f22e4747da1aa27e363d86d40ff442fe
1940,0.014,0.045,-0.018,95e6834d0a3d99e9ea8811855ae9229d
1941,0.02,0.053,-0.021,7af6266cc52234b5aa339b16695f7fc4
1942,-0.027,0.015,-0.081,519c84155964659375821f7ca576f095
1943,-0.004,0.036,-0.056,c3395dd46c34fa7fd8d729d8cf88b7a8
1944,0.144,0.18,0.094,6f2688a5fce7d48c8d19762b88c32c3b
1945,0.025,0.059,-0.017,2d00f43f07911355d4151f13925ff292
1946,-0.071,-0.042,-0.113,1f71e393b3809197ed66df836fe833e5
1947,-0.038,0.001,-0.098,de03beffeed9da5f3639a621bcab5dd4
1948,-0.039,0.0,-0.101,7ca57a9f85a19a6e4b9a248c1daca185
1949,-0.074,-0.036,-0.119,36ac8e558ac7690b6f44e2cb5ef93322
1950,-0.173,-0.135,-0.216,03e7d2ebec1e820ac34d054df7e68f48
1951,-0.052,-0.018,-0.091,6a508a60aa3bf9510ea6acb021c94b48
1952,0.028,0.063,-0.01,1113d7a76ffceca1bb350bfe145467c6
1953,0.097,0.132,0.06,a38b16173474ba8b1a95bcbc30d3b8a5
1954,-0.129,-0.093,-0.166,5a7f963e5e0504740c3a6b10bb6d4fa5
1955,-0.19,-0.16,-0.222,378a063b8fdb1db941e34f4bde584c7d
1956,-0.267,-0.236,-0.297,e3408432c1a48a52fb6c74d926b38886
1957,-0.007,0.024,-0.035,277a78fc05c8864a170e9a56ceeabc4c
1958,0.046,0.075,0.02,d77f00766fd3be3f2189c843a6af3fb2
1959,0.017,0.043,-0.008,e4dd5528f7596dcdf871aa55cfccc53c
1960,-0.049,-0.023,-0.073,7f16109f1619fd7a733daf5a84c708c1
1961,0.038,0.06,0.009,f106b7f99d2cb30c3db1c3cc0fde9ccb
1962,0.014,0.034,-0.012,95f6870ff3dcd442254e334a9033d349
1963,0.048,0.074,0.022,c215b446bcdf956d848a8419c1b5a920
1964,-0.223,-0.197,-0.246,39dcaf7a053dc372fbc391d4e6b5d693
1965,-0.14,-0.113,-0.163,d46e1fcf4c07ce4a69ee07e4134bcef1
1966,-0.068,-0.042,-0.09,3683af9d6f6c06acee72992f2977f67e
1967,-0.074,-0.052,-0.093,a82d922b133be19c1171534e6594f754
1968,-0.113,-0.097,-0.133,98c7242894844ecd6ec94af67ac8247d
1969,0.032,0.05,0.014,4d8556695c262ab91ff51a943fdd6058
1970,-0.027,-0.009,-0.048,0004d0b59e19461ff126e3a08a814c33
1971,-0.186,-0.163,-0.204,de73998802680548b916f1947ffbad76
1972,-0.065,-0.04,-0.08,c4de8ced6214345614d33fb0b16a8acd
1973,0.062,0.082,0.051,deb54ffb41e085fd7f69a75b6359c989
1974,-0.214,-0.197,-0.227,3d863b367aa379f71c7afc0c9cdca41d
1975,-0.149,-0.134,-0.163,7d2b92b6726c241134dae6cd3fb8c182
1976,-0.241,-0.227,-0.255,dd055f53a45702fe05e449c30ac80df9
1977,0.047,0.064,0.034,4afd521d77158e02aed37e2274b90c9c
1978,-0.062,-0.044,-0.077,405e28906322882c5be9b4b27f4c35fd
1979,0.057,0.076,0.041,798cebccb32617ad94123450fd137104
1980,0.092,0.107,0.077,f80bf05527157a8c2a7bb63b22f49aaa
