anio,poblacion,biocapacidad percap,huella ecologica percap,tierra,Id_anio
2001,6222629888,1.83,2.51,1.3715846994535517,d0fb963ff976f9c37fc81fe03c21ea7b
2002,6301770240,1.81,2.51,1.3867403314917126,4ba29b9f9e5732ed33761840f4ba6c53
2003,6381179904,1.79,2.57,1.435754189944134,a591024321c5e2bdbd23ed35f0574dde
2004,6461159936,1.78,2.66,1.4943820224719102,b8b4b727d6f5d1b61fff7be687f7970f
2005,6541910016,1.76,2.7,1.5340909090909092,d47268e9db2e9aa3827bba3afb7ff94a
2006,6623519744,1.74,2.74,1.574712643678161,ea5a486c712a91e48443cd802642223d
2007,6705950208,1.73,2.78,1.606936416184971,a00e5eb0973d24649a4a920fc53d9564
2008,6789089792,1.73,2.77,1.6011560693641618,ef8446f35513a8d6aa2308357a268a7e
2009,6872770048,1.7,2.69,1.5823529411764703,f1981e4bd8a0d6d8462016d2fc6276b3
2010,6956819968,1.69,2.81,1.6627218934911243,d7a84628c025d30f7b2c52c958767e76
2011,7041189888,1.68,2.84,1.6904761904761905,c8758b517083196f05ac29810b924aca
2012,7125830144,1.64,2.78,1.695121951219512,253614bbac999b38b5b60cae531c4969
2013,7210579968,1.65,2.81,1.7030303030303031,8038da89e49ac5eabb489cfc6cea9fc1
2014,7295289856,1.64,2.77,1.6890243902439026,cee8d6b7ce52554fd70354e37bbf44a2
2015,7379800064,1.62,2.73,1.6851851851851851,65d2ea03425887a717c435081cfc5dbb
2016,7464019968,1.61,2.69,1.670807453416149,95192c98732387165bf8e396c0f2dad2
2017,7547859968,1.61,2.76,1.714285714285714,8d8818c8e140c64c743113f563cf750f
2018,7631090176,1.58,2.77,1.7531645569620251,84ddfb34126fc3a48ee38d7044e87276
2019,7674314922,1.56,2.73,1.75,ea6b2efbdd4255a9f1b3bbc6399b58f4
2020,7756041003,1.61,2.48,1.5403726708074532,7b7a53e239400a13bd6be6c91c4f6c4e
2021,7851163856,1.51,2.7,1.7880794701986755,05a5cf06982ba7892ed2a6d38fe832d6
2022,7948118521,1.52,2.73,1.7960526315789471,3a824154b16ed7dab899bf000b80eeee
